iter	Passed	Remaining
0	1	1440
1	2	1094
2	4	1334
3	4	1213
4	5	1169
5	6	1117
6	7	1074
7	8	1027
8	8	957
9	9	893
10	9	840
11	9	806
12	10	768
13	10	735
14	10	706
15	11	680
16	11	673
17	11	651
18	12	633
19	12	615
20	12	600
21	13	586
22	13	574
23	13	562
24	14	552
25	14	542
26	14	532
27	15	524
28	15	517
29	15	510
30	16	504
31	16	498
32	16	492
33	17	486
34	17	493
35	20	535
36	20	540
37	21	551
38	22	553
39	23	555
40	23	556
41	24	557
42	25	558
43	25	558
44	26	558
45	26	559
46	27	559
47	28	558
48	28	559
49	29	559
50	30	558
51	30	553
52	30	547
53	30	542
54	31	537
55	31	532
56	31	527
57	32	522
58	32	518
59	32	513
60	33	509
61	33	505
62	33	501
63	34	498
64	34	494
65	34	491
66	35	487
67	35	484
68	35	481
69	35	477
70	36	474
71	36	471
72	36	468
73	37	466
74	37	462
75	37	460
76	38	457
77	38	454
78	38	452
79	39	450
80	39	447
81	39	444
82	39	440
83	40	438
84	40	435
85	40	433
86	41	431
87	41	429
88	41	428
89	42	429
90	43	430
91	43	432
92	44	433
93	45	434
94	45	435
95	46	436
96	46	437
97	47	438
98	48	439
99	48	440
100	49	441
101	50	442
102	50	443
103	51	444
104	52	445
105	52	446
106	53	447
107	54	448
108	55	450
109	55	450
110	56	450
111	56	451
112	57	451
113	58	451
114	58	451
115	59	451
116	59	451
117	60	451
118	61	452
119	61	453
120	62	453
121	62	451
122	63	454
123	64	454
124	65	455
125	65	455
126	65	452
127	66	450
128	66	448
129	66	446
130	67	444
131	67	443
132	67	441
133	68	439
134	68	437
135	68	435
136	68	434
137	69	432
138	69	430
139	69	429
140	70	427
141	70	425
142	70	423
143	70	421
144	71	420
145	71	418
146	71	417
147	72	415
148	72	414
149	72	412
150	73	411
151	73	411
152	74	412
153	75	412
154	75	413
155	76	413
156	77	414
157	77	412
158	78	414
159	78	414
160	79	412
161	80	414
162	80	414
163	81	415
164	82	415
165	82	415
166	83	416
167	84	416
168	84	416
169	85	416
170	86	416
171	86	417
172	87	417
173	88	418
174	88	417
175	89	417
176	89	417
177	90	417
178	91	417
179	91	417
180	92	417
181	92	416
182	92	414
183	93	413
184	93	411
185	93	410
186	94	408
187	94	407
188	94	406
189	94	404
190	95	403
191	95	402
192	95	400
193	96	399
194	96	398
195	96	396
196	97	395
197	97	394
198	97	393
199	98	393
200	98	393
201	99	393
202	100	393
203	100	393
204	101	393
205	102	393
206	102	393
207	103	394
208	104	394
209	104	394
210	105	394
211	106	394
212	106	394
213	107	394
214	108	394
215	108	394
216	109	394
217	110	394
218	110	394
219	111	394
220	112	394
221	112	393
222	113	394
223	113	393
224	114	394
225	115	394
226	115	393
227	116	394
228	117	396
229	118	396
230	119	396
231	119	396
232	120	397
233	121	396
234	121	396
235	122	396
236	123	396
237	123	396
238	124	396
239	125	396
240	125	396
241	126	396
242	127	396
243	127	395
244	127	394
245	128	392
246	128	391
247	128	390
248	129	389
249	129	388
250	129	387
251	130	386
252	130	386
253	131	386
254	132	386
255	132	386
256	133	386
257	134	386
258	135	386
259	135	386
260	136	386
261	137	386
262	137	386
263	138	385
264	139	385
265	139	385
266	140	385
267	141	385
268	141	384
269	142	384
270	143	384
271	143	384
272	144	384
273	144	382
274	145	383
275	146	383
276	146	383
277	147	382
278	148	382
279	148	382
280	149	382
281	150	382
282	150	382
283	151	381
284	152	381
285	152	381
286	153	381
287	154	381
288	154	379
289	155	380
290	156	380
291	156	380
292	157	379
293	158	379
294	158	379
295	159	379
296	160	379
297	160	378
298	161	378
299	162	378
300	162	378
301	163	377
302	164	377
303	164	377
304	165	377
305	166	376
306	166	376
307	167	376
308	168	375
309	168	375
310	168	374
311	169	373
312	169	372
313	169	371
314	170	370
315	170	369
316	170	368
317	171	367
318	171	366
319	171	364
320	172	364
321	172	363
322	172	362
323	173	361
324	173	360
325	173	359
326	175	360
327	175	359
328	175	358
329	176	357
330	176	356
331	176	355
332	177	354
333	177	353
334	177	352
335	178	351
336	178	350
337	179	350
338	179	350
339	180	349
340	180	349
341	181	349
342	182	349
343	182	348
344	183	348
345	184	347
346	184	347
347	185	347
348	185	346
349	186	346
350	187	345
351	187	345
352	187	344
353	188	344
354	189	343
355	189	343
356	190	343
357	192	344
358	193	345
359	194	345
360	195	346
361	196	347
362	197	347
363	198	347
364	199	347
365	200	346
366	200	346
367	201	345
368	201	345
369	202	344
370	203	344
371	203	344
372	204	343
373	205	343
374	206	344
375	207	344
376	208	344
377	209	344
378	210	344
379	211	344
380	212	344
381	213	344
382	214	344
383	215	345
384	216	345
385	216	345
386	217	345
387	218	344
388	219	345
389	220	345
390	221	345
391	222	345
392	223	345
393	223	344
394	224	343
395	225	343
396	225	342
397	226	342
398	227	342
399	227	341
400	228	341
401	229	340
402	229	340
403	230	339
404	231	339
405	231	339
406	232	338
407	233	338
408	233	337
409	234	337
410	235	337
411	235	336
412	236	336
413	237	335
414	237	335
415	238	334
416	239	334
417	239	333
418	240	333
419	241	333
420	241	332
421	242	332
422	243	331
423	243	331
424	244	330
425	244	329
426	245	329
427	246	329
428	247	328
429	247	328
430	248	327
431	249	327
432	249	327
433	250	326
434	250	325
435	251	325
436	252	324
437	253	324
438	253	323
439	254	323
440	254	322
441	255	322
442	256	321
443	257	321
444	257	320
445	258	320
446	258	319
447	259	319
448	259	318
449	260	318
450	261	318
451	262	318
452	263	317
453	263	317
454	264	316
455	265	316
456	265	315
457	266	315
458	267	315
459	268	314
460	268	314
461	269	313
462	269	313
463	270	312
464	271	312
465	272	312
466	273	311
467	274	311
468	275	311
469	276	311
470	277	311
471	277	310
472	278	310
473	280	310
474	280	310
475	281	309
476	281	309
477	282	308
478	283	307
479	283	307
480	284	306
481	284	306
482	285	305
483	286	305
484	287	305
485	288	305
486	289	304
487	289	304
488	290	303
489	291	303
490	291	302
491	292	301
492	292	301
493	293	300
494	294	300
495	294	299
496	295	299
497	296	298
498	296	298
499	297	297
500	298	297
501	298	296
502	299	295
503	300	295
504	300	294
505	301	294
506	302	293
507	302	293
508	303	292
509	304	292
510	304	291
511	305	291
512	306	290
513	306	289
514	307	289
515	307	288
516	308	288
517	309	287
518	309	287
519	310	286
520	311	286
521	311	285
522	312	285
523	313	284
524	313	284
525	314	283
526	315	282
527	316	282
528	316	282
529	317	281
530	318	281
531	318	280
532	319	279
533	320	279
534	320	278
535	321	278
536	322	277
537	322	277
538	323	276
539	323	275
540	324	275
541	325	274
542	325	274
543	326	273
544	327	273
545	327	272
546	328	271
547	329	271
548	329	270
549	330	270
550	330	269
551	331	269
552	332	268
553	333	268
554	333	267
555	334	267
556	334	266
557	335	265
558	336	265
559	336	264
560	337	263
561	338	263
562	338	262
563	339	262
564	339	261
565	340	261
566	341	260
567	341	259
568	342	259
569	342	258
570	343	258
571	344	257
572	344	256
573	345	256
574	346	255
575	346	255
576	347	254
577	348	254
578	348	253
579	349	252
580	350	252
581	350	251
582	351	251
583	352	250
584	352	250
585	353	249
586	354	249
587	354	248
588	355	247
589	356	247
590	356	246
591	357	246
592	357	245
593	358	245
594	359	244
595	359	243
596	360	243
597	361	242
598	361	242
599	362	241
600	363	241
601	363	240
602	364	239
603	365	239
604	365	238
605	366	238
606	366	237
607	367	237
608	367	236
609	368	235
610	369	235
611	370	234
612	370	233
613	371	233
614	371	232
615	372	231
616	373	231
617	373	230
618	374	230
619	374	229
620	375	229
621	376	228
622	376	228
623	377	227
624	378	227
625	378	226
626	379	225
627	380	225
628	380	224
629	381	223
630	382	223
631	382	222
632	382	222
633	384	221
634	384	221
635	384	220
636	386	220
637	386	219
638	386	218
639	388	218
640	388	217
641	388	216
642	390	216
643	390	215
644	390	215
645	392	214
646	392	214
647	392	213
648	393	213
649	394	212
650	394	211
651	394	210
652	396	210
653	396	209
654	396	208
655	398	208
656	398	208
657	398	207
658	399	206
659	399	205
660	399	204
661	399	204
662	400	203
663	400	202
664	400	201
665	401	201
666	401	200
667	401	199
668	402	198
669	402	198
670	402	197
671	403	196
672	403	195
673	403	195
674	404	194
675	404	193
676	404	193
677	405	192
678	405	191
679	405	190
680	406	190
681	406	189
682	406	188
683	407	188
684	407	187
685	407	186
686	408	185
687	408	185
688	408	184
689	409	183
